"Hiragana"	"Katakana"	"Basic"	"Yoon1"	"Yoon2"
"あ"	"ア"	"a"		
"い"	"イ"	"i"		
"う"	"ウ"	"u|!*v[u]"		
"え"	"エ"	"e"		
"お"	"オ"	"o"		
"か"	"カ"	"ka|ga|!*nga"		
"き"	"キ"	"ki|gi|!*ngi"	"ky|gy"	"*kw|*gw"
"く"	"ク"	"ku|gu|!*ngu"		
"け"	"ケ"	"ke|ge|!*nge"		
"こ"	"コ"	"ko|go|!*ngo"		
"さ"	"サ"	"sa|za"		
"し"	"シ"	"shi|ji"	"sh|j"	
"す"	"ス"	"su|zu"		
"せ"	"セ"	"se|ze|&!*tse"		
"そ"	"ソ"	"so|zo"		
"た"	"タ"	"ta|da"		
"ち"	"チ"	"chi|dji"	"ch|dj"	
"つ"	"ツ"	"tsu|dzu|&!*tu"		
"て"	"テ"	"te|de"		
"と"	"ト"	"to|do|&!*tu"		
"な"	"ナ"	"na"		
"に"	"二"	"ni"	"ny"	
"ぬ"	"ヌ"	"nu"		
"ね"	"ネ"	"ne"		
"の"	"ノ"	"no"		
"は"	"ハ"	"ha|ba|pa"		
"ひ"	"ヒ"	"hi|bi|pi"	"hy|by|py"	"&!*hw"
"ふ"	"フ"	"fu|bu|pu"		
"へ"	"ヘ"	"he|be|pe"		
"ほ"	"ホ"	"ho|bo|po"		
"ま"	"マ"	"ma"		
"み"	"ミ"	"mi"	"my"	
"む"	"ム"	"mu"		
"め"	"メ"	"me"		
"も"	"モ"	"mo"		
"や"	"ヤ"	"ya"		
"ゆ"	"ユ"	"yu"		
"よ"	"ヨ"	"yo"		
"ら"	"ラ"	"ra"		
"り"	"リ"	"ri"	"ry"	
"る"	"ル"	"ru"		
"れ"	"レ"	"re"		
"ろ"	"ロ"	"ro"		
"わ"	"ワ"	"wa|&!*va"		
"ゐ"	"ヰ"	"*wi|&!*vi"		
"ゑ"	"ヱ"	"*we|&!*ve"		
"を"	"ヲ"	"wo|&!*vo"		
"ん"	"ン"	"n"		
